"id","slug","title","difficulty","content"
"285","inorder-successor-in-bst","Inorder Successor in BST","Medium","Given the `root` of a binary search tree and a node `p` in it, return _the in-order successor of that node in the BST_. If the given node has no in-order successor in the tree, return `null`._x000D_
_x000D_
The successor of a node `p` is the node with the smallest key greater than `p.val`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** root = \[2,1,3\], p = 1_x000D_
**Output:** 2_x000D_
**Explanation:** 1's in-order successor node is 2. Note that both p and the return value is of TreeNode type._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** root = \[5,3,6,2,4,null,null,1\], p = 6_x000D_
**Output:** null_x000D_
**Explanation:** There is no in-order successor of the current node, so the answer is `null`._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the tree is in the range `[1, 104]`._x000D_
*   `-105 <= Node.val <= 105`_x000D_
*   All Nodes will have unique values."
"286","walls-and-gates","Walls and Gates","Medium","You are given an `m x n` grid `rooms` initialized with these three possible values._x000D_
_x000D_
*   `-1` A wall or an obstacle._x000D_
*   `0` A gate._x000D_
*   `INF` Infinity means an empty room. We use the value `231 - 1 = 2147483647` to represent `INF` as you may assume that the distance to a gate is less than `2147483647`._x000D_
_x000D_
Fill each empty room with the distance to _its nearest gate_. If it is impossible to reach a gate, it should be filled with `INF`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** rooms = \[\[2147483647,-1,0,2147483647\],\[2147483647,2147483647,2147483647,-1\],\[2147483647,-1,2147483647,-1\],\[0,-1,2147483647,2147483647\]\]_x000D_
**Output:** \[\[3,-1,0,1\],\[2,2,1,-1\],\[1,-1,2,-1\],\[0,-1,3,4\]\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** rooms = \[\[-1\]\]_x000D_
**Output:** \[\[-1\]\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == rooms.length`_x000D_
*   `n == rooms[i].length`_x000D_
*   `1 <= m, n <= 250`_x000D_
*   `rooms[i][j]` is `-1`, `0`, or `231 - 1`."
"287","find-the-duplicate-number","Find the Duplicate Number","Medium","Given an array of integers `nums` containing `n + 1` integers where each integer is in the range `[1, n]` inclusive._x000D_
_x000D_
There is only **one repeated number** in `nums`, return _this repeated number_._x000D_
_x000D_
You must solve the problem **without** modifying the array `nums` and uses only constant extra space._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,3,4,2,2\]_x000D_
**Output:** 2_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[3,1,3,4,2\]_x000D_
**Output:** 3_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 105`_x000D_
*   `nums.length == n + 1`_x000D_
*   `1 <= nums[i] <= n`_x000D_
*   All the integers in `nums` appear only **once** except for **precisely one integer** which appears **two or more** times._x000D_
_x000D_
**Follow up:**_x000D_
_x000D_
*   How can we prove that at least one duplicate number must exist in `nums`?_x000D_
*   Can you solve the problem in linear runtime complexity?"
"288","unique-word-abbreviation","Unique Word Abbreviation","Medium","The **abbreviation** of a word is a concatenation of its first letter, the number of characters between the first and last letter, and its last letter. If a word has only two characters, then it is an **abbreviation** of itself._x000D_
_x000D_
For example:_x000D_
_x000D_
*   `dog --> d1g` because there is one letter between the first letter `'d'` and the last letter `'g'`._x000D_
*   `internationalization --> i18n` because there are 18 letters between the first letter `'i'` and the last letter `'n'`._x000D_
*   `it --> it` because any word with only two characters is an **abbreviation** of itself._x000D_
_x000D_
Implement the `ValidWordAbbr` class:_x000D_
_x000D_
*   `ValidWordAbbr(String[] dictionary)` Initializes the object with a `dictionary` of words._x000D_
*   `boolean isUnique(string word)` Returns `true` if **either** of the following conditions are met (otherwise returns `false`):_x000D_
    *   There is no word in `dictionary` whose **abbreviation** is equal to `word`'s **abbreviation**._x000D_
    *   For any word in `dictionary` whose **abbreviation** is equal to `word`'s **abbreviation**, that word and `word` are **the same**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""ValidWordAbbr "",  ""isUnique "",  ""isUnique "",  ""isUnique "",  ""isUnique "",  ""isUnique ""\]_x000D_
\[\[\[ ""deer "",  ""door "",  ""cake "",  ""card ""\]\], \[ ""dear ""\], \[ ""cart ""\], \[ ""cane ""\], \[ ""make ""\], \[ ""cake ""\]\]_x000D_
**Output**_x000D_
\[null, false, true, false, true, true\]_x000D_
_x000D_
**Explanation**_x000D_
ValidWordAbbr validWordAbbr = new ValidWordAbbr(\[ ""deer "",  ""door "",  ""cake "",  ""card ""\]);_x000D_
validWordAbbr.isUnique( ""dear ""); // return false, dictionary word  ""deer "" and word  ""dear "" have the same abbreviation  ""d2r "" but are not the same._x000D_
validWordAbbr.isUnique( ""cart ""); // return true, no words in the dictionary have the abbreviation  ""c2t ""._x000D_
validWordAbbr.isUnique( ""cane ""); // return false, dictionary word  ""cake "" and word  ""cane "" have the same abbreviation   ""c2e "" but are not the same._x000D_
validWordAbbr.isUnique( ""make ""); // return true, no words in the dictionary have the abbreviation  ""m2e ""._x000D_
validWordAbbr.isUnique( ""cake ""); // return true, because  ""cake "" is already in the dictionary and no other word in the dictionary has  ""c2e "" abbreviation._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= dictionary.length <= 3 * 104`_x000D_
*   `1 <= dictionary[i].length <= 20`_x000D_
*   `dictionary[i]` consists of lowercase English letters._x000D_
*   `1 <= word.length <= 20`_x000D_
*   `word` consists of lowercase English letters._x000D_
*   At most `5000` calls will be made to `isUnique`."
"289","game-of-life","Game of Life","Medium","According to [Wikipedia's article](https://en.wikipedia.org/wiki/Conway%27s_Game_of_Life): ""The **Game of Life**, also known simply as **Life**, is a cellular automaton devised by the British mathematician John Horton Conway in 1970. ""_x000D_
_x000D_
The board is made up of an `m x n` grid of cells, where each cell has an initial state: **live** (represented by a `1`) or **dead** (represented by a `0`). Each cell interacts with its [eight neighbors](https://en.wikipedia.org/wiki/Moore_neighborhood) (horizontal, vertical, diagonal) using the following four rules (taken from the above Wikipedia article):_x000D_
_x000D_
1.  Any live cell with fewer than two live neighbors dies as if caused by under-population._x000D_
2.  Any live cell with two or three live neighbors lives on to the next generation._x000D_
3.  Any live cell with more than three live neighbors dies, as if by over-population._x000D_
4.  Any dead cell with exactly three live neighbors becomes a live cell, as if by reproduction._x000D_
_x000D_
The next state is created by applying the above rules simultaneously to every cell in the current state, where births and deaths occur simultaneously. Given the current state of the `m x n` grid `board`, return _the next state_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** board = \[\[0,1,0\],\[0,0,1\],\[1,1,1\],\[0,0,0\]\]_x000D_
**Output:** \[\[0,0,0\],\[1,0,1\],\[0,1,1\],\[0,1,0\]\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** board = \[\[1,1\],\[1,0\]\]_x000D_
**Output:** \[\[1,1\],\[1,1\]\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == board.length`_x000D_
*   `n == board[i].length`_x000D_
*   `1 <= m, n <= 25`_x000D_
*   `board[i][j]` is `0` or `1`._x000D_
_x000D_
**Follow up:**_x000D_
_x000D_
*   Could you solve it in-place? Remember that the board needs to be updated simultaneously: You cannot update some cells first and then use their updated values to update other cells._x000D_
*   In this question, we represent the board using a 2D array. In principle, the board is infinite, which would cause problems when the active area encroaches upon the border of the array (i.e., live cells reach the border). How would you address these problems?"
"290","word-pattern","Word Pattern","Easy","Given a `pattern` and a string `s`, find if `s` follows the same pattern._x000D_
_x000D_
Here **follow** means a full match, such that there is a bijection between a letter in `pattern` and a **non-empty** word in `s`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** pattern =  ""abba "", s =  ""dog cat cat dog ""_x000D_
**Output:** true_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** pattern =  ""abba "", s =  ""dog cat cat fish ""_x000D_
**Output:** false_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** pattern =  ""aaaa "", s =  ""dog cat cat dog ""_x000D_
**Output:** false_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= pattern.length <= 300`_x000D_
*   `pattern` contains only lower-case English letters._x000D_
*   `1 <= s.length <= 3000`_x000D_
*   `s` contains only lowercase English letters and spaces `' '`._x000D_
*   `s` **does not contain** any leading or trailing spaces._x000D_
*   All the words in `s` are separated by a **single space**."
"291","word-pattern-ii","Word Pattern II","Medium","Given a `pattern` and a string `s`, return `true` _if_ `s` _**matches** the_ `pattern`_.__x000D_
_x000D_
A string `s` **matches** a `pattern` if there is some **bijective mapping** of single characters to strings such that if each character in `pattern` is replaced by the string it maps to, then the resulting string is `s`. A **bijective mapping** means that no two characters map to the same string, and no character maps to two different strings._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** pattern =  ""abab "", s =  ""redblueredblue ""_x000D_
**Output:** true_x000D_
**Explanation:** One possible mapping is as follows:_x000D_
'a' ->  ""red ""_x000D_
'b' ->  ""blue ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** pattern =  ""aaaa "", s =  ""asdasdasdasd ""_x000D_
**Output:** true_x000D_
**Explanation:** One possible mapping is as follows:_x000D_
'a' ->  ""asd ""_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** pattern =  ""aabb "", s =  ""xyzabcxzyabc ""_x000D_
**Output:** false_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= pattern.length, s.length <= 20`_x000D_
*   `pattern` and `s` consist of only lowercase English letters."
"292","nim-game","Nim Game","Easy","You are playing the following Nim Game with your friend:_x000D_
_x000D_
*   Initially, there is a heap of stones on the table._x000D_
*   You and your friend will alternate taking turns, and **you go first**._x000D_
*   On each turn, the person whose turn it is will remove 1 to 3 stones from the heap._x000D_
*   The one who removes the last stone is the winner._x000D_
_x000D_
Given `n`, the number of stones in the heap, return `true` _if you can win the game assuming both you and your friend play optimally, otherwise return_ `false`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 4_x000D_
**Output:** false_x000D_
**Explanation:** These are the possible outcomes:_x000D_
1. You remove 1 stone. Your friend removes 3 stones, including the last stone. Your friend wins._x000D_
2. You remove 2 stones. Your friend removes 2 stones, including the last stone. Your friend wins._x000D_
3. You remove 3 stones. Your friend removes the last stone. Your friend wins._x000D_
In all outcomes, your friend wins._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 1_x000D_
**Output:** true_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** n = 2_x000D_
**Output:** true_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 231 - 1`"
"293","flip-game","Flip Game","Easy","You are playing a Flip Game with your friend._x000D_
_x000D_
You are given a string `currentState` that contains only `'+'` and `'-'`. You and your friend take turns to flip **two consecutive** `""++ ""` into `""-- ""`. The game ends when a person can no longer make a move, and therefore the other person will be the winner._x000D_
_x000D_
Return all possible states of the string `currentState` after **one valid move**. You may return the answer in **any order**. If there is no valid move, return an empty list `[]`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** currentState =  ""++++ ""_x000D_
**Output:** \[ ""--++ "", ""+--+ "", ""++-- ""\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** currentState =  ""+ ""_x000D_
**Output:** \[\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= currentState.length <= 500`_x000D_
*   `currentState[i]` is either `'+'` or `'-'`."
"294","flip-game-ii","Flip Game II","Medium","You are playing a Flip Game with your friend._x000D_
_x000D_
You are given a string `currentState` that contains only `'+'` and `'-'`. You and your friend take turns to flip **two consecutive** `""++ ""` into `""-- ""`. The game ends when a person can no longer make a move, and therefore the other person will be the winner._x000D_
_x000D_
Return `true` _if the starting player can **guarantee a win**_, and `false` otherwise._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** currentState =  ""++++ ""_x000D_
**Output:** true_x000D_
**Explanation:** The starting player can guarantee a win by flipping the middle  ""++ "" to become  ""+--+ ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** currentState =  ""+ ""_x000D_
**Output:** false_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= currentState.length <= 60`_x000D_
*   `currentState[i]` is either `'+'` or `'-'`._x000D_
_x000D_
**Follow up:** Derive your algorithm's runtime complexity."
"295","find-median-from-data-stream","Find Median from Data Stream","Hard","The **median** is the middle value in an ordered integer list. If the size of the list is even, there is no middle value, and the median is the mean of the two middle values._x000D_
_x000D_
*   For example, for `arr = [2,3,4]`, the median is `3`._x000D_
*   For example, for `arr = [2,3]`, the median is `(2 + 3) / 2 = 2.5`._x000D_
_x000D_
Implement the MedianFinder class:_x000D_
_x000D_
*   `MedianFinder()` initializes the `MedianFinder` object._x000D_
*   `void addNum(int num)` adds the integer `num` from the data stream to the data structure._x000D_
*   `double findMedian()` returns the median of all elements so far. Answers within `10-5` of the actual answer will be accepted._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""MedianFinder "",  ""addNum "",  ""addNum "",  ""findMedian "",  ""addNum "",  ""findMedian ""\]_x000D_
\[\[\], \[1\], \[2\], \[\], \[3\], \[\]\]_x000D_
**Output**_x000D_
\[null, null, null, 1.5, null, 2.0\]_x000D_
_x000D_
**Explanation**_x000D_
MedianFinder medianFinder = new MedianFinder();_x000D_
medianFinder.addNum(1);    // arr = \[1\]_x000D_
medianFinder.addNum(2);    // arr = \[1, 2\]_x000D_
medianFinder.findMedian(); // return 1.5 (i.e., (1 + 2) / 2)_x000D_
medianFinder.addNum(3);    // arr\[1, 2, 3\]_x000D_
medianFinder.findMedian(); // return 2.0_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `-105 <= num <= 105`_x000D_
*   There will be at least one element in the data structure before calling `findMedian`._x000D_
*   At most `5 * 104` calls will be made to `addNum` and `findMedian`._x000D_
_x000D_
**Follow up:**_x000D_
_x000D_
*   If all integer numbers from the stream are in the range `[0, 100]`, how would you optimize your solution?_x000D_
*   If `99%` of all integer numbers from the stream are in the range `[0, 100]`, how would you optimize your solution?"
"296","best-meeting-point","Best Meeting Point","Hard","Given an `m x n` binary grid `grid` where each `1` marks the home of one friend, return _the minimal **total travel distance**_._x000D_
_x000D_
The **total travel distance** is the sum of the distances between the houses of the friends and the meeting point._x000D_
_x000D_
The distance is calculated using [Manhattan Distance](http://en.wikipedia.org/wiki/Taxicab_geometry), where `distance(p1, p2) = |p2.x - p1.x| + |p2.y - p1.y|`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** grid = \[\[1,0,0,0,1\],\[0,0,0,0,0\],\[0,0,1,0,0\]\]_x000D_
**Output:** 6_x000D_
**Explanation:** Given three friends living at (0,0), (0,4), and (2,2)._x000D_
The point (0,2) is an ideal meeting point, as the total travel distance of 2 + 2 + 2 = 6 is minimal._x000D_
So return 6._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** grid = \[\[1,1\]\]_x000D_
**Output:** 1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == grid.length`_x000D_
*   `n == grid[i].length`_x000D_
*   `1 <= m, n <= 200`_x000D_
*   `grid[i][j]` is either `0` or `1`._x000D_
*   There will be **at least two** friends in the `grid`."
"297","serialize-and-deserialize-binary-tree","Serialize and Deserialize Binary Tree","Hard","Serialization is the process of converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment._x000D_
_x000D_
Design an algorithm to serialize and deserialize a binary tree. There is no restriction on how your serialization/deserialization algorithm should work. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure._x000D_
_x000D_
**Clarification:** The input/output format is the same as [how LeetCode serializes a binary tree](https://support.leetcode.com/hc/en-us/articles/360011883654-What-does-1-null-2-3-mean-in-binary-tree-representation-). You do not necessarily need to follow this format, so please be creative and come up with different approaches yourself._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** root = \[1,2,3,null,null,4,5\]_x000D_
**Output:** \[1,2,3,null,null,4,5\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** root = \[\]_x000D_
**Output:** \[\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the tree is in the range `[0, 104]`._x000D_
*   `-1000 <= Node.val <= 1000`"
"298","binary-tree-longest-consecutive-sequence","Binary Tree Longest Consecutive Sequence","Medium","Given the `root` of a binary tree, return _the length of the longest **consecutive sequence path**_._x000D_
_x000D_
A **consecutive sequence path** is a path where the values **increase by one** along the path._x000D_
_x000D_
Note that the path can start **at any node** in the tree, and you cannot go from a node to its parent in the path._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** root = \[1,null,3,2,4,null,null,null,5\]_x000D_
**Output:** 3_x000D_
**Explanation:** Longest consecutive sequence path is 3-4-5, so return 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** root = \[2,null,3,2,null,1\]_x000D_
**Output:** 2_x000D_
**Explanation:** Longest consecutive sequence path is 2-3, not 3-2-1, so return 2._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the tree is in the range `[1, 3 * 104]`._x000D_
*   `-3 * 104 <= Node.val <= 3 * 104`"
"299","bulls-and-cows","Bulls and Cows","Medium","You are playing the **[Bulls and Cows](https://en.wikipedia.org/wiki/Bulls_and_Cows)** game with your friend._x000D_
_x000D_
You write down a secret number and ask your friend to guess what the number is. When your friend makes a guess, you provide a hint with the following info:_x000D_
_x000D_
*   The number of ""bulls "", which are digits in the guess that are in the correct position._x000D_
*   The number of ""cows "", which are digits in the guess that are in your secret number but are located in the wrong position. Specifically, the non-bull digits in the guess that could be rearranged such that they become bulls._x000D_
_x000D_
Given the secret number `secret` and your friend's guess `guess`, return _the hint for your friend's guess_._x000D_
_x000D_
The hint should be formatted as `""xAyB ""`, where `x` is the number of bulls and `y` is the number of cows. Note that both `secret` and `guess` may contain duplicate digits._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** secret =  ""1807 "", guess =  ""7810 ""_x000D_
**Output:**  ""1A3B ""_x000D_
**Explanation:** Bulls are connected with a '|' and cows are underlined:_x000D_
 ""1807 ""_x000D_
  |_x000D_
 ""7810 ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** secret =  ""1123 "", guess =  ""0111 ""_x000D_
**Output:**  ""1A1B ""_x000D_
**Explanation:** Bulls are connected with a '|' and cows are underlined:_x000D_
 ""1123 ""         ""1123 ""_x000D_
  |      or     |_x000D_
 ""0111 ""         ""0111 ""_x000D_
Note that only one of the two unmatched 1s is counted as a cow since the non-bull digits can only be rearranged to allow one 1 to be a bull._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= secret.length, guess.length <= 1000`_x000D_
*   `secret.length == guess.length`_x000D_
*   `secret` and `guess` consist of digits only."
"300","longest-increasing-subsequence","Longest Increasing Subsequence","Medium","Given an integer array `nums`, return _the length of the longest **strictly increasing**_ _**subsequence**_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[10,9,2,5,3,7,101,18\]_x000D_
**Output:** 4_x000D_
**Explanation:** The longest increasing subsequence is \[2,3,7,101\], therefore the length is 4._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[0,1,0,3,2,3\]_x000D_
**Output:** 4_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[7,7,7,7,7,7,7\]_x000D_
**Output:** 1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 2500`_x000D_
*   `-104 <= nums[i] <= 104`_x000D_
_x000D_
**Follow up:** Can you come up with an algorithm that runs in `O(n log(n))` time complexity?"
"301","remove-invalid-parentheses","Remove Invalid Parentheses","Hard","Given a string `s` that contains parentheses and letters, remove the minimum number of invalid parentheses to make the input string valid._x000D_
_x000D_
Return _a list of **unique strings** that are valid with the minimum number of removals_. You may return the answer in **any order**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""()())() ""_x000D_
**Output:** \[ ""(())() "", ""()()() ""\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""(a)())() ""_x000D_
**Output:** \[ ""(a())() "", ""(a)()() ""\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  "")( ""_x000D_
**Output:** \[ "" ""\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 25`_x000D_
*   `s` consists of lowercase English letters and parentheses `'('` and `')'`._x000D_
*   There will be at most `20` parentheses in `s`."
"302","smallest-rectangle-enclosing-black-pixels","Smallest Rectangle Enclosing Black Pixels","Hard","You are given an `m x n` binary matrix `image` where `0` represents a white pixel and `1` represents a black pixel._x000D_
_x000D_
The black pixels are connected (i.e., there is only one black region). Pixels are connected horizontally and vertically._x000D_
_x000D_
Given two integers `x` and `y` that represents the location of one of the black pixels, return _the area of the smallest (axis-aligned) rectangle that encloses all black pixels_._x000D_
_x000D_
You must write an algorithm with less than `O(mn)` runtime complexity_x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** image = \[\[ ""0 "", ""0 "", ""1 "", ""0 ""\],\[ ""0 "", ""1 "", ""1 "", ""0 ""\],\[ ""0 "", ""1 "", ""0 "", ""0 ""\]\], x = 0, y = 2_x000D_
**Output:** 6_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** image = \[\[ ""1 ""\]\], x = 0, y = 0_x000D_
**Output:** 1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == image.length`_x000D_
*   `n == image[i].length`_x000D_
*   `1 <= m, n <= 100`_x000D_
*   `image[i][j]` is either `'0'` or `'1'`._x000D_
*   `0 <= x < m`_x000D_
*   `0 <= y < n`_x000D_
*   `image[x][y] == '1'.`_x000D_
*   The black pixels in the `image` only form **one component**."
"303","range-sum-query-immutable","Range Sum Query - Immutable","Easy","Given an integer array `nums`, handle multiple queries of the following type:_x000D_
_x000D_
1.  Calculate the **sum** of the elements of `nums` between indices `left` and `right` **inclusive** where `left <= right`._x000D_
_x000D_
Implement the `NumArray` class:_x000D_
_x000D_
*   `NumArray(int[] nums)` Initializes the object with the integer array `nums`._x000D_
*   `int sumRange(int left, int right)` Returns the **sum** of the elements of `nums` between indices `left` and `right` **inclusive** (i.e. `nums[left] + nums[left + 1] + ... + nums[right]`)._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""NumArray "",  ""sumRange "",  ""sumRange "",  ""sumRange ""\]_x000D_
\[\[\[-2, 0, 3, -5, 2, -1\]\], \[0, 2\], \[2, 5\], \[0, 5\]\]_x000D_
**Output**_x000D_
\[null, 1, -1, -3\]_x000D_
_x000D_
**Explanation**_x000D_
NumArray numArray = new NumArray(\[-2, 0, 3, -5, 2, -1\]);_x000D_
numArray.sumRange(0, 2); // return (-2) + 0 + 3 = 1_x000D_
numArray.sumRange(2, 5); // return 3 + (-5) + 2 + (-1) = -1_x000D_
numArray.sumRange(0, 5); // return (-2) + 0 + 3 + (-5) + 2 + (-1) = -3_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 104`_x000D_
*   `-105 <= nums[i] <= 105`_x000D_
*   `0 <= left <= right < nums.length`_x000D_
*   At most `104` calls will be made to `sumRange`."
"304","range-sum-query-2d-immutable","Range Sum Query 2D - Immutable","Medium","Given a 2D matrix `matrix`, handle multiple queries of the following type:_x000D_
_x000D_
*   Calculate the **sum** of the elements of `matrix` inside the rectangle defined by its **upper left corner** `(row1, col1)` and **lower right corner** `(row2, col2)`._x000D_
_x000D_
Implement the `NumMatrix` class:_x000D_
_x000D_
*   `NumMatrix(int[][] matrix)` Initializes the object with the integer matrix `matrix`._x000D_
*   `int sumRegion(int row1, int col1, int row2, int col2)` Returns the **sum** of the elements of `matrix` inside the rectangle defined by its **upper left corner** `(row1, col1)` and **lower right corner** `(row2, col2)`._x000D_
_x000D_
You must design an algorithm where `sumRegion` works on `O(1)` time complexity._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""NumMatrix "",  ""sumRegion "",  ""sumRegion "",  ""sumRegion ""\]_x000D_
\[\[\[\[3, 0, 1, 4, 2\], \[5, 6, 3, 2, 1\], \[1, 2, 0, 1, 5\], \[4, 1, 0, 1, 7\], \[1, 0, 3, 0, 5\]\]\], \[2, 1, 4, 3\], \[1, 1, 2, 2\], \[1, 2, 2, 4\]\]_x000D_
**Output**_x000D_
\[null, 8, 11, 12\]_x000D_
_x000D_
**Explanation**_x000D_
NumMatrix numMatrix = new NumMatrix(\[\[3, 0, 1, 4, 2\], \[5, 6, 3, 2, 1\], \[1, 2, 0, 1, 5\], \[4, 1, 0, 1, 7\], \[1, 0, 3, 0, 5\]\]);_x000D_
numMatrix.sumRegion(2, 1, 4, 3); // return 8 (i.e sum of the red rectangle)_x000D_
numMatrix.sumRegion(1, 1, 2, 2); // return 11 (i.e sum of the green rectangle)_x000D_
numMatrix.sumRegion(1, 2, 2, 4); // return 12 (i.e sum of the blue rectangle)_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == matrix.length`_x000D_
*   `n == matrix[i].length`_x000D_
*   `1 <= m, n <= 200`_x000D_
*   `-104 <= matrix[i][j] <= 104`_x000D_
*   `0 <= row1 <= row2 < m`_x000D_
*   `0 <= col1 <= col2 < n`_x000D_
*   At most `104` calls will be made to `sumRegion`."
"305","number-of-islands-ii","Number of Islands II","Hard","You are given an empty 2D binary grid `grid` of size `m x n`. The grid represents a map where `0`'s represent water and `1`'s represent land. Initially, all the cells of `grid` are water cells (i.e., all the cells are `0`'s)._x000D_
_x000D_
We may perform an add land operation which turns the water at position into a land. You are given an array `positions` where `positions[i] = [ri, ci]` is the position `(ri, ci)` at which we should operate the `ith` operation._x000D_
_x000D_
Return _an array of integers_ `answer` _where_ `answer[i]` _is the number of islands after turning the cell_ `(ri, ci)` _into a land_._x000D_
_x000D_
An **island** is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** m = 3, n = 3, positions = \[\[0,0\],\[0,1\],\[1,2\],\[2,1\]\]_x000D_
**Output:** \[1,1,2,3\]_x000D_
**Explanation:**_x000D_
Initially, the 2d grid is filled with water._x000D_
- Operation #1: addLand(0, 0) turns the water at grid\[0\]\[0\] into a land. We have 1 island._x000D_
- Operation #2: addLand(0, 1) turns the water at grid\[0\]\[1\] into a land. We still have 1 island._x000D_
- Operation #3: addLand(1, 2) turns the water at grid\[1\]\[2\] into a land. We have 2 islands._x000D_
- Operation #4: addLand(2, 1) turns the water at grid\[2\]\[1\] into a land. We have 3 islands._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** m = 1, n = 1, positions = \[\[0,0\]\]_x000D_
**Output:** \[1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= m, n, positions.length <= 104`_x000D_
*   `1 <= m * n <= 104`_x000D_
*   `positions[i].length == 2`_x000D_
*   `0 <= ri < m`_x000D_
*   `0 <= ci < n`_x000D_
_x000D_
**Follow up:** Could you solve it in time complexity `O(k log(mn))`, where `k == positions.length`?"
